Year,LocationDesc,LocationAbbr,Category,Indicator,Datasource,DataValueUnit,DataValueType,DataValue,DataValueFootnoteSymbol,DataValueFootnote,IndicatorID,LocationID,IndicatorSortOrder,LocationSortOrder,Geolocation,DataValueAlt
2018,Wisconsin,WI,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",18.0,,,WFRS_State_4,55,23,50,"(44.393191174, -89.816370742)",18
2006,United States,US,Water Fluoridation,Number of CWS consecutive to systems with optimal fluoride levels,WFRS,,Count,6705.0,b,Reported in CDC Water Fluoridation Reporting System (WRFS).,WFRS_Nat_9,US,9,0,,6705
2008,Maryland,MD,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,4839490.0,,,WFRS_State_2,24,21,21,"(39.290580964, -76.609260111)",4839490
2000,North Carolina,NC,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",17.0,,,WFRS_State_4,37,23,34,"(35.466220975, -79.159250463)",17
2012,Kansas,KS,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",35.0,,,WFRS_State_4,20,23,17,"(38.3477403, -98.200781227)",35
2014,Oregon,OR,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",48.0,,,WFRS_State_4,41,23,38,"(44.567449424, -120.155031326)",48
2008,Texas,TX,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,16979812.0,,,WFRS_State_2,48,21,44,"(31.827240407, -99.426770206)",16979812
2014,California,CA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,24699693.0,"f,g",f: Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. g: Complete data were not available from WFRS; State provided additional information.,WFRS_State_2,6,21,5,"(37.638640123, -120.999999538)",24699693
2012,Ohio,OH,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",11.0,,,WFRS_State_4,39,23,36,"(40.060210141, -82.404260056)",11
2006,Oregon,OR,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,839727.0,,,WFRS_State_2,41,21,38,"(44.567449424, -120.155031326)",839727
2016,Oregon,OR,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,778589.0,,,WFRS_State_2,41,21,38,"(44.567449424, -120.155031326)",778589
2012,New Hampshire,NH,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",43.0,,,WFRS_State_4,33,23,30,"(43.655950113, -71.50036092)",43
2014,Texas,TX,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,19645292.0,,,WFRS_State_2,48,21,44,"(31.827240407, -99.426770206)",19924236
2018,New Mexico,NM,Water Fluoridation,Total population served by CWS,WFRS,,Population,1801817.0,,,WFRS_State_3,35,22,32,"(34.520880952, -106.240580985)",1801817
2012,New Hampshire,NH,Water Fluoridation,Total population served by CWS,WFRS,,Population,832631.0,,,WFRS_State_3,33,22,30,"(43.655950113, -71.50036092)",832631
