Customer ID,Customer Tenure (years),Deposit Balance ($),Gross Monthly Income ($),BNPL Amount 3m ($),BNPL Amount 6m ($),BNPL Amount 9m ($),BNPL Amount 12m ($),Overdraft History,FICO Score,Current Credit Obligations ($),Payment Timeliness 30+,Payment Timeliness 60+,Payment Timeliness 90+,Debt Write-off,Credit Inquiries,Years Since Bankruptcy,Employment Status,Open Credit Accounts
1,8,5142.444873125304,1979.79,0,259.23519336342497,699.0981129991553,803.5478688036011,0,595.9262704855638,24397.746882407904,2,1,0,0,0,NA,Employed,9
2,9,6940.580051966821,2245.83,0,0,0,0,0,672.6502819329412,15397.686993881993,0,0,0,0,0,NA,Student,7
3,4,5620.070503269918,1774.33,0,0,0,0,0,724.5623289253338,20337.68939798543,0,0,0,0,1,NA,Employed,10
4,7,4720.902875027385,1983.1,0,0,0,0,0,672.5539644367551,1365.21977270839,3,1,0,0,0,NA,Retired,1
5,6,4347.377731547729,4722,0,0,0,0,0,632.5583481514747,9949.60106887249,1,1,0,0,0,NA,Employed,5
6,5,4762.38098630979,5999.89,625.6192648841272,1162.9915986475767,1691.1311807929496,2149.973509845823,0,624,2214.608896000066,2,1,1,1,0,5,Retired,1
7,6,6787.117786491126,5503.17,0,0,0,0,0,745.830751418344,1856.0028404151315,0,0,0,0,0,NA,Employed,1
8,3,5422.229021320012,3469.61,0,0,0,0,2,733.2101750689624,3137.9868028585133,0,0,0,0,1,NA,Unemployed,1
9,6,4022.440412329219,4179.24,0,0,0,0,1,594.7557875034515,628.544320177132,2,1,1,1,1,NA,Unemployed,1
10,6,4559.256149789906,3402.74,0,0,0,0,0,647,8193.355503054452,0,0,0,0,1,6,Retired,5
11,5,407.50843979497586,3503.45,0,0,0,0,0,697.3269473317699,6860.190842384019,0,0,0,0,0,NA,Employed,3
12,6,5553.824552469085,3204.97,0,0,0,0,1,722.3191205804844,13901.683464478187,2,0,0,0,0,NA,Employed,8
13,9,6947.63253479378,3590.98,0,0,0,0,0,597,20913.323207973117,3,3,1,1,1,4,Employed,10
14,3,2726.8114783628816,3781.29,0,0,0,0,0,616.92714401888,16348.324944157426,0,0,0,0,2,NA,Employed,7
15,5,5192.164269703538,2518.79,293.6985833542599,678.1601048617459,1339.056968669988,0,2,624.9185814494939,1910.3270688465877,1,0,0,0,0,NA,Unemployed,2
16,9,4029.300527701774,3679.88,0,0,0,0,4,754.0603511596483,18132.077406265373,1,0,0,0,3,NA,Unemployed,6
17,10,3423.201946375946,4885.32,0,0,0,0,3,753.0229926285473,3096.1842452696874,0,0,0,0,0,NA,Employed,1
18,2,5175.679708195571,4042.46,849.1743845404694,425.5497031401332,690.3404793441941,620.9230741712181,0,611.0391714032287,15941.457546227055,1,1,1,1,1,NA,Employed,10
19,5,3515.308127496801,3249.71,0,0,0,0,0,625.6448420577779,19084.568782677707,0,0,0,0,2,NA,Employed,10
20,5,4845.28658692377,2940.2,0,0,0,0,0,668.9481394986824,17271.175511984122,0,0,0,0,1,NA,Student,7
21,8,7646.545629106293,3287.33,0,0,0,0,1,633,13312.75721899798,0,0,0,0,1,3,Employed,7
22,3,1597.0761634497358,2317.42,0,0,0,0,0,661,4572.75747132221,1,0,0,0,0,4,Employed,2
23,11,3653.0437509468074,1453.58,0,0,0,0,0,640.3125142769753,12188.018296711562,1,1,0,0,2,NA,Unemployed,7
24,9,4140.5865754815695,4350.31,0,0,0,0,0,721.7714867418526,14411.164058932678,1,0,0,0,2,NA,Employed,7
25,2,7495.737688032503,2141,0,0,0,0,0,667.2677630933563,6256.694774486213,0,0,0,0,0,NA,Retired,3
26,5,6767.7598633795005,3284.21,0,0,0,0,1,486,10741.966147427569,0,0,0,0,0,0,Unemployed,6
27,4,4884.216097404285,4739.62,0,0,0,0,0,706.9829500107408,2456.222173966118,1,0,0,0,0,NA,Employed,2
28,8,2545.3512931110395,3647.61,0,0,0,0,1,710.1182899221359,18098.898820151277,0,0,0,0,1,NA,Employed,10
29,5,5550.406575666223,4915.01,599.6749906957048,376.8611847757705,219.2721438096122,1485.1839842645616,1,647.0446490116179,6447.027977953308,0,0,1,0,2,NA,Retired,3
30,7,5204.531445280194,1578.28,0,0,0,0,0,728.076639924144,2044.577655881644,1,0,0,0,0,NA,Employed,2
31,6,6003.560412139184,2255.53,778.2750700322084,611.8555202743719,592.2586328243499,1544.0181815810774,0,622.323858415719,5176.471462734215,1,0,2,0,0,NA,Student,2
32,7,5004.600454320887,3226.19,0,0,0,0,1,625.8687715915831,15926.83020602967,1,0,0,0,0,NA,Employed,9
33,4,2194.3950185503986,2943.39,0,0,0,0,0,697.5655455901899,21623.55202864724,2,0,0,0,0,NA,Employed,10
34,6,4425.099003745964,3714.49,0,0,0,0,1,724.5870894705083,2001.460892757036,2,0,0,0,3,NA,Retired,1
35,0,8003.424603071393,4270.44,0,0,0,0,0,566,2893.4267005469474,2,1,1,1,1,0,Unemployed,1
36,7,1658.5034564269604,4637.64,0,0,0,0,1,661.5956888697054,3382.6150064980557,3,1,1,1,1,NA,Employed,2
37,1,5302.462516840288,4313.19,0,0,0,0,0,701.2081762866795,17284.54783991794,2,0,0,0,2,NA,Employed,10
38,3,8175.240582155749,2221.76,0,0,0,0,0,614.7805316988333,12331.532169766284,0,0,0,0,0,NA,Employed,8
39,8,4093.539640499819,2988.86,0,0,0,0,0,627.5933183049652,2660.01734272453,1,1,0,0,1,NA,Unemployed,1
40,5,6009.924143720499,3459.45,0,0,0,0,0,645.827499692821,5279.650585861693,1,1,0,0,0,NA,Employed,2
41,4,4038.854077659755,2684.14,0,0,0,0,0,706.7068013143028,7818.501993171998,1,1,0,0,0,NA,Employed,3
42,4,5821.19720802115,2971.95,0,0,0,0,2,726.5247002758998,5092.890185119751,0,0,0,0,0,NA,Employed,2
43,1,2333.7910192664026,2633.02,0,0,0,0,0,726.6810746802822,1972.8133175104892,0,0,0,0,1,NA,Student,2
44,10,3757.7477829411814,3592.64,0,0,0,0,0,628.8303482288991,13850.713414237547,2,0,0,0,1,NA,Employed,6
45,4,7138.136309647607,4478.4,0,0,0,0,0,662,12100.96441452413,2,1,0,0,0,5,Unemployed,7
46,9,9573.432539432932,1878.16,0,0,0,0,1,672.6178973266788,2413.924390784337,0,0,0,0,4,NA,Employed,1
47,8,4149.489047262152,3451.73,0,0,0,0,0,607.8143679359388,9095.953805577901,2,2,2,1,2,NA,Employed,4
48,6,5748.967154057463,1912.03,525.2176481785059,754.058152431337,1216.3096566715687,395.68904945271277,0,631.5720256781722,15828.7923599444,3,3,1,1,2,NA,Student,9
49,10,7427.5808866173875,3015.84,0,0,0,0,2,633.7804831353919,15155.069538474354,1,0,0,0,2,NA,Unemployed,8
50,6,4551.55766986905,2725.08,0,0,0,0,0,604.6079400728976,9560.456514369174,2,1,0,0,0,NA,Unemployed,6
51,4,5291.132997215999,2511.71,0,0,0,0,2,718.3064138208458,20553.701762551962,1,1,1,1,3,NA,Employed,10
