Customer ID,Customer Tenure (years),Deposit Balance ($),Gross Monthly Income ($),BNPL Usage 3m,BNPL Usage 6m,BNPL Usage 9m,BNPL Usage 12m,Overdraft History,FICO Score,Current Credit Obligations ($),Payment Timeliness 30+,Payment Timeliness 60+,Payment Timeliness 90+,Debt Write-off,Credit Inquiries,Years Since Bankruptcy,Employment Status,Open Credit Accounts
1,8,5142.444873125304,1979.79,0,1,0,1,0,726.2997207373938,12239.983024277904,0,0,0,0,0,NA,Employed,9
2,9,6940.580051966821,2245.83,0,0,1,2,1,634.612467652179,1785.883754597291,0,0,0,0,0,NA,Employed,3
3,4,5620.070503269918,1774.33,0,2,3,0,0,706.8630318257938,3382.2647660838074,2,0,0,0,1,NA,Employed,5
4,7,4720.902875027385,1983.1,0,2,2,0,2,703.7115207166173,2381.107838400276,0,0,0,0,0,NA,Unemployed,3
5,6,4347.377731547729,4722,0,0,2,2,2,680.1303414741046,7043.849063112457,0,0,0,0,1,NA,Retired,8
6,5,4762.38098630979,5999.89,0,0,2,0,0,699.3789921365676,5794.042464117873,0,0,0,0,4,NA,Employed,5
7,6,6787.117786491126,5503.17,0,1,2,1,0,773.626789326102,6838.741921825614,1,0,0,0,3,NA,Employed,7
8,3,5422.229021320012,3469.61,2,1,0,0,0,745.5451368196946,10479.356014738623,0,0,0,0,1,NA,Employed,10
9,6,4022.440412329219,4179.24,1,0,1,1,1,692.8109759771145,3829.807898071057,0,0,0,0,3,NA,Retired,4
10,6,4559.256149789906,3402.74,0,2,0,0,0,629.2372509946762,5126.76317442551,0,0,0,0,0,NA,Employed,4
11,5,407.50843979497586,3503.45,0,1,0,0,0,730.6792816928917,6854.982923549775,0,0,0,0,1,NA,Employed,7
12,6,5553.824552469085,3204.97,1,1,0,0,0,696,591.6661747760488,1,0,0,0,0,1,Unemployed,1
13,9,6947.63253479378,3590.98,0,1,2,0,0,720.6619056027939,7851.578199850828,1,0,0,0,0,NA,Unemployed,8
14,3,2726.8114783628816,3781.29,0,0,1,1,1,654,7375.792431456031,1,0,0,0,1,5,Employed,6
15,5,5192.164269703538,2518.79,2,2,0,3,0,570,3620.7668890413956,0,0,0,0,0,0,Retired,4
16,9,4029.300527701774,3679.88,4,0,2,2,1,711.0383721019722,6628.594591163514,1,0,0,0,1,NA,Employed,8
17,10,3423.201946375946,4885.32,3,1,1,0,1,673,9956.310621075043,0,0,0,0,2,3,Unemployed,10
